tx	gene_id	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
YAR009C	YAR009C	3423.596	3341	3341	3425.35	3425.118
YAR010C	YAR010C	1155.596	1073	1073	1157.35	1157.118
tA(UGC)A	tA(UGC)A	8.106	2.935	2.935	7.257	7.68
YAR014C	YAR014C	1962.596	1880	1880	1964.35	1964.118
YAR015W	YAR015W	753.596	671	671	755.35	755.118
YAR018C	YAR018C	1140.596	1058	1058	1142.35	1142.118
YAR019C	YAR019C	2757.596	2675	2675	2759.35	2759.118
YAR019W-A	YAR019W-A	171.483	83.038	83.038	173.696	174.308
YAR020C	YAR020C	40.811	6.156	6.156	41.838	42.966
YAR023C	YAR023C	372.904	290	290	374.71	374.814
tL(CAA)A	tL(CAA)A	9.394	3.104	3.104	8.972	9.357
tS(AGA)A	tS(AGA)A	9.394	3.104	3.104	8.972	9.357
YAR027W	YAR027W	540.615	458	458	542.368	542.186
YAR028W	YAR028W	537.617	455	455	539.369	539.186
YAR029W	YAR029W	79.412	12.734	12.734	81.247	82.395
YAR030C	YAR030C	179.927	92.011	92.011	182.031	182.571
YAR031W	YAR031W	729.596	647	647	731.35	731.118
YAR033W	YAR033W	537.617	455	455	539.369	539.186
YAR035W	YAR035W	1896.596	1814	1814	1898.35	1898.118
YAR035C-A	YAR035C-A	9.254	3.084	3.084	8.857	9.237
YAR042W	YAR042W	3399.596	3317	3317	3401.35	3401.118
YAR047C	YAR047C	160.507	71.167	71.167	162.657	163.446
YAR050W	YAR050W	4446.596	4364	4364	4448.35	4448.118
YAR053W	YAR053W	138.833	48.689	48.689	141.101	141.956
YAR060C	YAR060C	174.312	86.025	86.025	176.446	176.994
YAR061W	YAR061W	63.831	9.377	9.377	65.504	66.751
YAR062W	YAR062W	429.743	347	347	431.48	431.475
YAR064W	YAR064W	141.532	51.326	51.326	143.75	144.543
YAR066W	YAR066W	444.708	362	362	446.428	446.395
YAR068W	YAR068W	319.307	236	236	321.187	321.345
YAR069C	YAR069C	136.15	46.126	46.126	138.429	139.435
YAR070C	YAR070C	141.532	51.326	51.326	143.75	144.543
Gfp_transgene_gene	Gfp_transgene_gene	561.615	479	479	563.35	563.186
